num,admiration,adoration,aesthetic_appreciation,amusement,anger,anxiety,awe,awkwardness,boredom,calmness,confusion,contempt,craving,disappointment,disgust,empathic_pain,entrancement,envy,excitement,fear,guilt,horror,interest,joy,nostalgia,pride,relief,romance,sadness,satisfaction,sexual_desire,surprise,sympathy,triumph,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
328,0.0,0.38462,0.0,0.46154,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23077,0.0,0.0,0.076923,0.0,0.0,0.076923,0.0,0.076923,0.0,0.0,7.5556,6.5556,6.6667,6.5556,6.8889,6.2222,4.8889,2.3333,7.2222,5.5556,2.4444,7.5556,7.0,7.7778
329,0.0,0.0,0.0,0.0,0.0,0.46154,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.23077,0.0,0.076923,0.076923,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8889,5.8889,7.5556,4.8889,4.6667,4.3333,3.8889,5.2222,5.0,3.4444,4.4444,3.1111,6.6667,3.0
330,0.0,0.0,0.038462,0.0,0.0,0.0,0.42308,0.0,0.0,0.23077,0.076923,0.0,0.0,0.0,0.0,0.0,0.23077,0.0,0.076923,0.0,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.15385,0.0,0.0,5.5556,6.6667,6.4444,5.8889,3.3333,6.8889,4.7778,3.3333,5.7778,3.5556,2.6667,6.1111,7.1111,6.3333
331,0.15385,0.23077,0.0,0.38462,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.30769,0.0,0.0,0.0,0.0,0.46154,0.0,0.0,0.076923,0.0,0.0,0.076923,0.0,0.15385,0.076923,0.0,8.0,6.2222,6.7778,6.8889,7.6667,8.0,5.3333,1.3333,8.2222,5.8889,1.6667,8.0,7.3333,8.2222
332,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.38462,0.0,0.46154,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23077,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,2.1111,5.8889,5.3333,3.6667,4.1111,2.7778,3.4444,6.1111,3.5556,4.3333,5.6667,3.4444,2.2222,2.6667
333,0.076923,0.076923,0.0,0.0,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.15385,0.15385,0.0,0.0,0.0,0.0,0.076923,0.076923,0.0,0.076923,0.0,0.076923,0.0,0.0,0.61538,0.076923,0.0,0.0,0.53846,0.0,4.6667,5.5556,6.5556,5.7778,6.6667,5.5556,4.6667,5.1111,3.4444,5.5556,3.2222,5.0,5.3333,4.4444
334,0.076923,0.0,0.0,0.076923,0.076923,0.23077,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.30769,0.0,0.0,0.15385,0.0,0.15385,0.076923,0.0,0.0,0.23077,0.0,0.0,0.076923,0.23077,0.23077,2.7778,5.2222,6.6667,4.0,6.5556,4.7778,5.2222,4.2222,2.5556,4.7778,4.8889,3.0,5.0,4.1111
335,0.0,0.0,0.0,0.076923,0.0,0.15385,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30769,0.0,0.0,0.0,0.0,0.23077,0.076923,0.076923,0.23077,0.0,0.0,0.0,0.0,0.0,0.15385,0.15385,0.0,0.076923,0.076923,0.0,2.5556,4.2222,6.1111,5.8889,5.0,4.5556,4.5556,4.5556,3.6667,3.5556,5.3333,3.2222,3.1111,2.8889
336,0.0,0.076923,0.0,0.30769,0.0,0.076923,0.0,0.076923,0.23077,0.076923,0.0,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.15385,0.0,0.0,0.0,0.23077,0.15385,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.076923,6.3333,6.4444,6.5556,4.5556,6.2222,5.0,5.8889,3.3333,5.4444,4.5556,2.8889,6.4444,4.0,5.8889
337,0.076923,0.0,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.076923,0.076923,0.15385,0.0,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.15385,0.0,0.076923,0.92308,0.0,0.0,0.0,7.2222,7.3333,6.0,6.4444,6.0,7.6667,6.4444,2.5556,6.2222,4.4444,3.3333,6.3333,7.0,6.7778
338,0.15385,0.0,0.0,0.15385,0.0,0.23077,0.076923,0.0,0.0,0.0,0.23077,0.0,0.0,0.076923,0.0,0.15385,0.0,0.0,0.15385,0.15385,0.0,0.23077,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.076923,0.0,0.30769,0.076923,0.0,1.4444,6.4444,5.7778,3.4444,5.2222,2.0,5.4444,4.7778,4.1111,3.2222,4.3333,2.6667,2.7778,3.6667
339,0.0,0.0,0.46154,0.0,0.0,0.0,0.38462,0.0,0.0,0.69231,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2222,4.1111,5.7778,6.6667,4.6667,6.5556,4.3333,1.6667,7.0,4.3333,2.8889,7.0,6.1111,7.2222
340,0.0,0.15385,0.0,0.23077,0.0,0.0,0.23077,0.0,0.15385,0.0,0.0,0.0,0.0,0.0,0.15385,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.23077,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.23077,0.0,0.0,5.1111,5.1111,5.8889,4.5556,5.5556,6.2222,5.2222,3.5556,6.0,4.1111,3.8889,5.1111,6.4444,5.1111
341,0.0,0.0,0.0,0.15385,0.0,0.15385,0.076923,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23077,0.0,0.0,0.0,0.30769,0.15385,0.0,0.0,0.15385,0.0,0.0,0.15385,0.0,0.30769,0.076923,0.076923,6.2222,5.6667,6.4444,4.6667,5.7778,7.1111,5.4444,3.2222,6.1111,5.0,4.1111,5.2222,7.5556,5.0
342,0.0,0.076923,0.0,0.23077,0.0,0.30769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15385,0.076923,0.0,0.0,0.076923,0.38462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30769,0.0,0.15385,6.0,6.3333,6.4444,4.5556,6.3333,6.8889,5.5556,3.0,6.1111,5.3333,3.0,4.1111,7.1111,5.7778
343,0.076923,0.0,0.0,0.15385,0.0,0.0,0.15385,0.0,0.076923,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.30769,0.15385,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.30769,0.0,0.15385,5.7778,5.7778,6.4444,5.7778,5.7778,6.4444,5.5556,2.4444,5.8889,5.2222,4.1111,5.5556,6.8889,5.8889
344,0.076923,0.76923,0.0,0.15385,0.0,0.0,0.38462,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.23077,0.076923,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.15385,0.0,6.2222,4.8889,4.7778,5.4444,6.3333,7.2222,4.8889,1.7778,5.5556,5.1111,2.5556,7.0,7.0,7.5556
345,0.0,0.0,0.0,0.0,0.23077,0.076923,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.84615,0.0,0.0,0.0,0.0,0.15385,0.076923,0.46154,0.0,0.0,0.0,0.0,0.0,0.0,0.38462,0.0,0.0,0.0,0.15385,0.0,2.2222,5.2222,5.0,3.3333,5.6667,3.0,5.7778,7.3333,1.5556,1.5556,6.6667,2.3333,1.6667,1.2222
346,0.0,0.076923,0.076923,0.38462,0.0,0.0,0.23077,0.076923,0.076923,0.076923,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.076923,0.076923,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.076923,0.15385,0.0,6.0,5.2222,6.1111,5.8889,6.1111,6.4444,4.7778,2.3333,5.8889,5.3333,3.6667,5.6667,6.4444,6.3333
347,0.0,0.0,0.076923,0.46154,0.0,0.0,0.076923,0.0,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.0,0.30769,0.0,0.076923,0.0,0.0,0.0,0.076923,0.076923,0.0,0.076923,0.0,0.0,0.0,0.076923,0.0,0.076923,0.0,0.076923,6.0,6.4444,6.0,5.4444,4.4444,7.3333,5.5556,3.2222,5.6667,5.0,4.2222,5.5556,6.8889,6.5556
348,0.076923,0.0,0.53846,0.0,0.0,0.0,0.30769,0.0,0.0,0.69231,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4444,4.4444,6.2222,6.3333,5.2222,7.6667,4.3333,1.4444,6.5556,4.5556,2.6667,7.0,6.5556,7.8889
349,0.0,0.0,0.61538,0.0,0.0,0.23077,0.30769,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.15385,0.0,0.30769,0.15385,0.0,0.0,0.23077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,3.8889,6.5556,6.4444,4.8889,5.5556,4.1111,4.2222,2.3333,5.5556,4.1111,2.6667,3.5556,4.8889,6.3333
350,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.23077,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.076923,0.0,0.0,0.0,0.076923,0.23077,0.0,0.0,0.0,0.61538,0.0,0.076923,0.15385,0.0,0.0,0.0,5.7778,4.6667,5.8889,5.0,4.5556,6.1111,3.7778,3.5556,6.0,4.6667,2.7778,6.1111,4.8889,5.4444
351,0.0,0.0,0.0,0.076923,0.15385,0.15385,0.0,0.0,0.23077,0.076923,0.076923,0.076923,0.0,0.15385,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,3.5556,4.3333,5.6667,4.8889,3.0,3.4444,3.4444,2.5556,3.7778,3.4444,3.5556,4.7778,3.5556,3.6667
