num,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
885,2.4444,6.1111,6.1111,5.2222,5.3333,5.8889,5.7778,4.5556,5.8889,3.7778,2.5556,3.4444,4.2222,3.7778
886,2.4444,6.1111,5.0,5.2222,3.8889,2.1111,6.0,4.4444,3.3333,3.2222,2.5556,2.4444,2.3333,2.7778
887,3.3333,6.7778,7.0,4.1111,5.3333,1.5556,4.2222,5.3333,2.1111,3.5556,2.8889,2.2222,2.0,1.6667
888,2.7778,5.1111,4.6667,2.2222,3.7778,4.7778,4.6667,4.7778,3.1111,3.1111,2.8889,3.5556,2.8889,2.8889
889,2.0,6.1111,6.1111,2.4444,2.6667,2.8889,3.2222,4.6667,4.7778,3.2222,4.8889,2.5556,4.0,2.3333
890,2.5556,7.2222,6.3333,3.7778,4.0,2.7778,3.5556,2.7778,4.3333,3.6667,5.3333,2.4444,2.8889,3.6667
891,4.6667,3.8889,5.5556,5.5556,3.8889,6.1111,4.4444,2.5556,6.1111,3.6667,3.5556,5.4444,4.3333,5.8889
892,7.0,5.8889,7.0,6.6667,6.6667,7.7778,4.1111,2.7778,8.2222,4.8889,2.8889,7.2222,7.4444,7.0
893,7.4444,5.5556,5.7778,5.7778,3.3333,7.1111,5.3333,1.3333,6.6667,3.2222,3.2222,6.2222,7.0,6.1111
894,6.7778,6.3333,6.4444,6.8889,5.7778,7.8889,4.5556,2.3333,7.2222,5.0,2.4444,5.4444,7.5556,7.1111
895,1.8889,6.3333,7.3333,3.4444,3.6667,2.0,4.1111,3.6667,2.8889,3.4444,6.0,2.0,4.1111,3.8889
896,8.0,6.0,6.0,6.8889,4.1111,7.6667,4.6667,1.6667,6.0,3.0,2.6667,6.7778,6.4444,7.1111
897,7.0,6.5556,6.5556,6.3333,5.4444,6.1111,5.2222,2.2222,7.4444,4.4444,2.8889,6.0,7.2222,7.6667
898,8.0,5.6667,7.0,6.8889,3.3333,7.5556,5.0,2.0,6.2222,3.7778,2.7778,6.8889,6.7778,7.7778
899,4.1111,7.2222,7.2222,4.2222,4.2222,5.2222,5.6667,3.2222,5.4444,4.4444,4.5556,3.0,7.1111,7.0
900,4.4444,7.8889,6.0,3.5556,3.8889,5.5556,4.0,3.3333,5.3333,4.1111,3.8889,3.0,6.0,5.3333
901,4.1111,5.3333,5.0,4.0,3.6667,4.8889,4.0,4.6667,4.7778,3.4444,4.3333,4.4444,4.8889,4.6667
902,6.1111,5.0,5.6667,6.4444,5.7778,7.0,5.3333,3.3333,6.7778,5.7778,3.3333,6.5556,5.8889,6.6667
903,5.4444,5.5556,5.4444,5.1111,5.5556,6.1111,5.0,2.7778,6.1111,4.0,4.2222,6.5556,5.4444,5.7778
904,5.7778,4.1111,5.5556,6.1111,5.5556,6.4444,4.1111,2.6667,5.8889,4.8889,3.8889,6.3333,6.4444,6.7778
905,3.0,5.4444,5.4444,5.1111,4.2222,3.1111,3.6667,5.3333,3.1111,3.7778,5.2222,3.0,3.1111,1.6667
906,5.6667,6.0,5.5556,5.0,4.5556,6.8889,4.6667,3.7778,6.2222,4.6667,3.7778,4.5556,7.3333,6.8889
907,3.3333,5.6667,5.8889,5.4444,5.6667,4.2222,5.7778,5.3333,4.3333,5.0,4.1111,4.0,3.8889,3.6667
908,3.7778,5.8889,5.8889,3.2222,5.3333,4.2222,2.8889,4.6667,4.6667,4.2222,5.4444,3.2222,5.6667,4.3333
909,2.5556,4.8889,5.6667,5.7778,4.2222,3.6667,4.4444,4.8889,3.1111,3.3333,3.4444,2.6667,3.0,3.0
910,4.3333,4.5556,5.5556,5.3333,4.3333,3.4444,4.8889,3.7778,4.1111,4.3333,3.8889,4.0,4.4444,5.0
911,3.6667,4.1111,4.8889,3.8889,4.5556,3.1111,3.7778,4.8889,3.8889,4.1111,5.2222,1.6667,2.8889,2.3333
912,5.8889,4.7778,5.3333,4.7778,5.6667,5.7778,3.7778,2.4444,5.8889,6.4444,4.4444,5.7778,6.3333,6.5556
913,3.1111,5.4444,6.3333,5.1111,4.3333,4.4444,5.5556,4.1111,4.3333,5.1111,5.4444,3.5556,5.5556,3.6667
914,5.1111,5.4444,5.2222,4.8889,7.4444,5.1111,3.6667,6.0,2.1111,5.5556,5.0,3.8889,4.4444,2.4444
915,7.8889,6.5556,6.6667,5.1111,7.1111,7.0,4.5556,1.5556,7.3333,5.4444,2.7778,5.8889,8.0,8.0
916,5.1111,6.8889,6.2222,5.2222,5.1111,7.1111,4.4444,3.4444,6.4444,5.5556,4.0,3.3333,7.1111,6.7778
917,5.3333,4.6667,5.3333,5.2222,5.5556,7.1111,3.8889,3.8889,5.5556,4.5556,4.5556,5.5556,5.3333,5.3333
918,8.0,5.8889,5.8889,6.3333,7.2222,8.2222,3.7778,1.0,6.6667,4.3333,2.7778,7.2222,6.3333,8.0
919,7.5556,6.5556,6.7778,6.1111,4.4444,8.3333,4.6667,1.4444,6.2222,4.0,3.1111,6.8889,7.2222,7.2222
920,7.2222,6.7778,6.5556,5.7778,5.1111,7.7778,5.7778,3.0,7.0,5.8889,3.1111,6.1111,7.4444,6.8889
921,6.3333,7.6667,7.5556,5.7778,5.8889,7.5556,4.6667,2.5556,6.7778,6.0,3.1111,4.8889,7.8889,7.7778
922,6.1111,6.3333,5.8889,5.5556,5.6667,6.4444,5.5556,2.4444,5.6667,5.2222,4.3333,5.6667,6.2222,6.5556
923,7.2222,7.1111,6.5556,6.5556,7.0,8.2222,4.6667,2.4444,7.7778,7.1111,3.0,7.0,8.6667,8.7778
924,2.4444,3.7778,4.4444,5.8889,3.5556,5.6667,5.1111,4.0,5.0,3.2222,4.2222,5.1111,4.2222,4.6667
925,1.4444,6.1111,7.1111,3.4444,3.4444,1.4444,4.3333,6.0,1.7778,3.7778,5.2222,1.4444,1.5556,1.6667
926,2.0,4.8889,5.5556,2.7778,3.1111,4.1111,4.1111,5.1111,5.3333,2.4444,5.3333,2.2222,5.0,2.2222
927,6.0,5.6667,6.5556,6.7778,6.4444,7.7778,4.5556,2.1111,7.6667,5.3333,2.2222,7.3333,7.5556,7.6667
928,6.6667,5.0,5.6667,5.4444,5.4444,8.2222,5.2222,1.7778,7.4444,4.6667,2.3333,6.5556,6.5556,6.1111
929,2.3333,5.4444,5.3333,5.1111,4.2222,3.4444,4.2222,4.5556,5.2222,2.0,4.4444,5.1111,3.0,2.7778
930,4.5556,6.8889,7.2222,5.8889,3.5556,4.7778,6.3333,3.0,5.4444,3.8889,3.3333,4.8889,6.6667,5.8889
931,8.2222,6.2222,7.1111,6.6667,6.8889,7.2222,6.2222,2.2222,7.5556,4.1111,2.6667,6.7778,7.3333,8.1111
932,8.6667,6.8889,7.5556,7.0,7.6667,8.1111,5.5556,2.0,7.5556,5.1111,3.0,8.0,7.2222,8.1111
933,5.2222,7.0,7.4444,5.7778,7.3333,7.2222,5.0,3.3333,6.5556,5.7778,4.3333,5.5556,8.1111,5.8889
934,7.1111,5.4444,7.1111,4.3333,4.7778,6.7778,5.4444,2.0,6.8889,3.3333,3.3333,7.0,7.8889,7.1111
935,2.2222,7.6667,7.2222,4.4444,3.8889,1.7778,5.1111,4.1111,3.4444,3.3333,5.4444,1.8889,2.8889,2.1111
936,5.2222,6.3333,6.3333,5.2222,6.8889,6.7778,5.2222,3.4444,6.8889,4.2222,2.1111,6.1111,6.0,6.7778
937,1.6667,5.7778,5.0,5.2222,3.5556,3.5556,4.8889,5.6667,4.1111,2.4444,4.1111,3.0,3.4444,1.8889
938,2.8889,5.5556,5.2222,4.0,4.3333,4.4444,4.8889,3.2222,3.8889,4.6667,4.7778,3.5556,5.6667,4.7778
939,4.6667,3.7778,5.3333,5.7778,4.5556,6.7778,4.0,4.0,5.6667,3.5556,3.4444,5.4444,4.7778,3.6667
940,2.1111,5.3333,5.2222,4.2222,5.7778,2.3333,3.4444,3.3333,3.4444,5.5556,3.6667,1.7778,4.0,2.2222
941,4.7778,6.7778,6.6667,6.0,3.2222,6.7778,6.3333,3.2222,5.8889,3.2222,4.5556,4.2222,7.1111,5.3333
942,5.6667,7.0,6.2222,4.6667,5.0,6.4444,6.3333,4.1111,5.0,5.2222,5.0,4.8889,6.0,6.0
943,7.0,5.0,6.0,6.7778,5.8889,7.2222,4.6667,2.5556,6.5556,5.2222,2.1111,7.1111,6.4444,7.5556
944,6.3333,6.6667,6.8889,6.5556,6.8889,6.4444,5.6667,2.7778,5.6667,5.2222,3.0,4.7778,6.3333,7.0
945,5.4444,5.8889,6.6667,4.3333,3.8889,7.2222,4.2222,3.5556,5.8889,4.2222,4.7778,5.6667,6.2222,5.8889
946,5.1111,6.5556,6.2222,5.8889,5.3333,3.7778,5.3333,3.0,5.7778,4.4444,2.7778,5.2222,5.3333,6.0
947,4.4444,6.4444,6.8889,4.4444,4.4444,5.2222,5.4444,3.5556,4.0,4.3333,5.2222,3.8889,4.2222,4.6667
948,1.6667,6.0,6.2222,3.6667,3.7778,2.2222,5.1111,4.0,3.3333,3.5556,4.7778,2.2222,3.4444,2.5556
949,4.5556,7.4444,7.4444,5.1111,4.7778,4.7778,5.4444,4.8889,6.1111,4.1111,2.6667,3.1111,7.2222,5.3333
950,5.5556,6.1111,6.2222,5.8889,3.7778,5.4444,5.1111,3.0,5.4444,4.1111,3.7778,4.6667,5.6667,5.2222
951,6.7778,5.5556,6.1111,6.0,6.0,5.0,4.5556,2.4444,4.8889,5.0,6.1111,5.8889,5.5556,5.4444
952,3.2222,6.3333,6.2222,6.2222,4.1111,2.7778,5.3333,4.0,4.1111,4.0,3.7778,3.8889,5.0,4.7778
953,5.4444,5.0,6.2222,6.1111,4.8889,6.4444,4.8889,3.4444,5.0,4.5556,3.5556,5.6667,6.3333,5.6667
954,5.7778,6.0,6.7778,6.7778,4.2222,7.5556,6.1111,2.7778,6.7778,4.0,4.3333,7.0,6.2222,6.7778
